Track Name,Popularity,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,intensity
Justified & Ancient - Stand by the Jams,0,0.617,0.048,0.0158,0.112,0.408,0.504,111.458,-10.72996
I Know You Want Me (Calle Ocho),64,0.825,0.149,0.0142,2.12e-05,0.237,0.8,127.045,-4.454285
From the Bottom of My Broken Heart,56,0.677,0.0305,0.56,1.01e-06,0.338,0.706,74.981,-3.438715
Apeman - 2014 Remastered Version,42,0.683,0.259,0.568,5.08e-05,0.0384,0.833,75.311,-6.49376
You Can't Always Get What You Want,0,0.319,0.0687,0.675,7.29e-05,0.289,0.497,85.818,-6.026097
Don't Stop - 2004 Remaster,79,0.671,0.0356,0.0393,1.12e-05,0.0387,0.834,118.745,-5.48404
Eastside (with Halsey & Khalid),78,0.56,0.321,0.555,0.0,0.116,0.319,89.391,-5.20064
Something About The Way You Look Tonight - Edit Version,61,0.48,0.0262,0.174,3.28e-05,0.0753,0.541,143.412,-4.799804
Juke Box Hero,74,0.357,0.0654,0.0828,0.0,0.0844,0.522,176.647,-3.6267620000000003
Mercy,0,0.562,0.0871,0.113,0.0,0.11,0.357,148.064,-3.3600540000000003
It's Like That,68,0.852,0.0427,0.0168,0.45,0.133,0.666,129.029,-9.795792
Here Without You,80,0.557,0.0252,0.0492,0.0,0.205,0.233,143.994,-3.6334610000000005
Listen to the Band - Single Version,31,0.26,0.0625,0.114,2.95e-05,0.499,0.537,184.38,-5.917820000000001
With A Little Luck - Remastered 1993,0,0.652,0.0321,0.069,0.000197,0.0923,0.283,111.984,-5.74554
Sing,73,0.818,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,-2.98217
Mississippi,58,0.605,0.0358,0.24,0.000459,0.257,0.638,123.332,-6.8180369999999995
Flava,5,0.813,0.0494,0.166,0.0,0.121,0.923,112.962,-2.948894
Baby Sittin' Boogie - Radio Version,6,0.483,0.145,0.805,0.0,0.161,0.878,140.11,-5.267639
Dr. Love,15,0.736,0.0312,0.0165,0.0,0.166,0.96,102.021,-7.7902309999999995
Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),0,0.637,0.0269,0.434,0.0,0.139,0.588,145.922,-3.1595199999999997
I'm Free,0,0.648,0.0797,0.0981,2.24e-05,0.0712,0.856,103.272,-5.586048
"Writing's On The Wall - From ""Spectre"" Soundtrack",68,0.261,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,-2.4733799999999997
If You Can't Give Me Love - 2017 Remaster,0,0.667,0.0348,0.117,0.000854,0.0707,0.905,133.867,-5.820540000000001
Take Yourself Home,0,0.364,0.0831,0.0748,0.000322,0.106,0.289,99.73,-5.567928
Give It Up,73,0.862,0.0565,0.0192,0.000153,0.0465,0.882,124.896,-7.2571200000000005
Homecoming,47,0.393,0.0871,0.00966,0.0,0.214,0.323,150.074,-2.0137159999999996
Funhouse - Main Version - Clean,24,0.789,0.0361,0.00616,0.0,0.0646,0.821,103.957,-3.40956
Dangerous Woman,0,0.677,0.0385,0.0612,0.0,0.353,0.297,134.052,-3.21328
Abergavenny,33,0.609,0.0695,0.162,0.504,0.522,0.792,123.102,-7.34616
That's All You Gotta Do,9,0.587,0.0283,0.381,1.01e-06,0.105,0.96,98.137,-3.7258000000000004
Its Alright,44,0.66,0.0375,0.0808,3.48e-06,0.15,0.862,103.395,-4.69744
Metal Guru,50,0.307,0.138,0.00054,7.43e-05,0.313,0.524,127.895,-3.2556499999999997
Heaven Is A Place On Earth,74,0.64,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902,-6.917388
Paper In Fire,0,0.607,0.0426,0.00122,0.000261,0.0624,0.533,141.985,-4.29694
Wrecking Ball,0,0.466,0.0337,0.395,0.0,0.111,0.337,119.81,-2.475226
Deep End,35,0.455,0.0399,0.761,0.0,0.0783,0.31,171.744,-2.5198479999999996
Stay The Night - Featuring Hayley Williams Of Paramore,67,0.596,0.0411,0.109,0.0,0.0947,0.461,127.961,-2.294442
Californication,63,0.592,0.027,0.0021,0.00165,0.127,0.328,96.483,-2.1383959999999997
We Will Rock You - Remastered 2011,82,0.692,0.119,0.676,0.0,0.259,0.475,81.308,-3.636052
My Island Home,47,0.488,0.0321,0.0714,0.0,0.0756,0.544,79.707,-5.807256
7 Days,74,0.659,0.0487,0.23,0.0,0.0951,0.888,83.014,-6.089188
Shoop Shoop Diddy Wop Cumma Cumma Wang Dang,28,0.706,0.411,0.226,0.0,0.0496,0.972,181.337,-7.315569999999999
Regardless,30,0.672,0.0477,0.551,1.05e-05,0.105,0.319,130.086,-3.4344270000000003
Convoy,64,0.68,0.141,0.857,0.000116,0.0881,0.796,111.62,-8.077668000000001
Pretty Flamingo,0,0.553,0.0279,0.114,0.0,0.743,0.841,113.506,-5.36382
You Know I'm No Good,0,0.705,0.0309,0.0132,0.00428,0.0701,0.734,103.383,-2.9072420000000005
Turn Around (feat. Ne-Yo),31,0.59,0.0263,0.0179,6.46e-06,0.134,0.607,125.018,-2.257542
Morning After Dark (Featuring Nelly Furtado & SoShy),0,0.734,0.042,0.076,0.00134,0.0465,0.901,118.039,-3.934188
Somebody That I Used To Know,67,0.864,0.0367,0.571,7.92e-05,0.0947,0.755,129.048,-3.588005
Matthew & Son - Stereo Version,0,0.534,0.0335,0.0503,0.00213,0.281,0.767,139.867,-5.490003000000001
Heaven & Hell - US Single Version,11,0.483,0.0323,0.505,6.32e-05,0.297,0.502,116.418,-6.943196000000001
You Are The Sunshine Of My Life,0,0.471,0.0509,0.802,2.55e-06,0.0931,0.661,131.892,-6.466684
Too Good At Goodbyes,87,0.681,0.0432,0.64,0.0,0.169,0.476,91.873,-3.064164
You're the One,22,0.485,0.0348,0.479,0.0,0.67,0.88,136.892,-5.65264
We Made You,66,0.924,0.0792,0.107,1.45e-06,0.129,0.67,114.003,-1.026159
Round Round,0,0.735,0.0346,0.00289,3.95e-06,0.111,0.758,126.587,-3.302855
Juju on That Beat (TZ Anthem),61,0.807,0.275,0.00381,0.0,0.391,0.78,160.517,-3.452204
Poker Face,0,0.851,0.0786,0.12,1.33e-06,0.121,0.776,119.001,-3.7221080000000004
It Must Be Love,58,0.536,0.0355,0.103,1.08e-05,0.255,0.719,146.425,-3.250584
The Wild Colonial Boy,19,0.448,0.0552,0.84,3.8e-06,0.0848,0.403,158.27,-4.656912
You Talk Too Much,13,0.719,0.0376,0.797,1.43e-05,0.075,0.727,128.272,-5.897330999999999
