Track Name,Popularity,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,intensity,Cluster,PCA1,PCA2,Cluster Label
Justified & Ancient - Stand by the Jams,0,0.617,0.048,0.0158,0.112,0.408,0.504,111.458,-10.72996,0,-0.37121973794541785,-0.1664720297101489,"Mid-tempo, Less Popular, Melancholic"
I Know You Want Me (Calle Ocho),64,0.825,0.149,0.0142,2.12e-05,0.237,0.8,127.045,-4.454285,1,0.3088880037482865,-0.31295546348841624,"Popular, Moderate Dance, Positive Vibes"
From the Bottom of My Broken Heart,56,0.677,0.0305,0.56,1.01e-06,0.338,0.706,74.981,-3.438715,3,0.1567804233115233,0.17799212865953845,"Acoustic, Neutral, Relaxed"
Apeman - 2014 Remastered Version,42,0.683,0.259,0.568,5.08e-05,0.0384,0.833,75.311,-6.49376,3,0.028679328877667887,0.05587436386668704,"Acoustic, Neutral, Relaxed"
You Can't Always Get What You Want,0,0.319,0.0687,0.675,7.29e-05,0.289,0.497,85.818,-6.026097,3,-0.4501106224754745,0.41474735854600714,"Acoustic, Neutral, Relaxed"
Don't Stop - 2004 Remaster,79,0.671,0.0356,0.0393,1.12e-05,0.0387,0.834,118.745,-5.48404,1,0.4528135992774124,-0.2511817841214094,"Popular, Moderate Dance, Positive Vibes"
Eastside (with Halsey & Khalid),78,0.56,0.321,0.555,0.0,0.116,0.319,89.391,-5.20064,3,0.3655262615202962,0.46309684075321045,"Acoustic, Neutral, Relaxed"
Something About The Way You Look Tonight - Edit Version,61,0.48,0.0262,0.174,3.28e-05,0.0753,0.541,143.412,-4.799804,1,0.23284351360480815,0.06812446725699184,"Popular, Moderate Dance, Positive Vibes"
Juke Box Hero,74,0.357,0.0654,0.0828,0.0,0.0844,0.522,176.647,-3.626762,1,0.3660703671153964,0.06715346030048486,"Popular, Moderate Dance, Positive Vibes"
Mercy,0,0.562,0.0871,0.113,0.0,0.11,0.357,148.064,-3.3600540000000003,0,-0.38086141546947233,0.05860703547168328,"Mid-tempo, Less Popular, Melancholic"
It's Like That,68,0.852,0.0427,0.0168,0.45,0.133,0.666,129.029,-9.795792,1,0.3362355852566491,-0.26293040565888876,"Popular, Moderate Dance, Positive Vibes"
Here Without You,80,0.557,0.0252,0.0492,0.0,0.205,0.233,143.994,-3.633461000000001,1,0.4272054616018931,0.18995678471606556,"Popular, Moderate Dance, Positive Vibes"
Listen to the Band - Single Version,31,0.26,0.0625,0.114,2.95e-05,0.499,0.537,184.38,-5.917820000000001,0,-0.0860601549921931,0.03359471858568214,"Mid-tempo, Less Popular, Melancholic"
With A Little Luck - Remastered 1993,0,0.652,0.0321,0.069,0.000197,0.0923,0.283,111.984,-5.74554,0,-0.3747487055877271,0.04669678617716011,"Mid-tempo, Less Popular, Melancholic"
Sing,73,0.818,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,-2.98217,1,0.37821636063009545,-0.17427454927775993,"Popular, Moderate Dance, Positive Vibes"
Mississippi,58,0.605,0.0358,0.24,0.000459,0.257,0.638,123.332,-6.818037,1,0.203422842435654,-0.003263737412716128,"Popular, Moderate Dance, Positive Vibes"
Flava,5,0.813,0.0494,0.166,0.0,0.121,0.923,112.962,-2.948894,2,-0.2982032981519973,-0.3337596507302694,"Upbeat, Less Popular, Positive"
Baby Sittin' Boogie - Radio Version,6,0.483,0.145,0.805,0.0,0.161,0.878,140.11,-5.267639,3,-0.3738626898272413,0.2034833188187296,"Acoustic, Neutral, Relaxed"
Dr. Love,15,0.736,0.0312,0.0165,0.0,0.166,0.96,102.021,-7.790230999999999,2,-0.1865463488919242,-0.4552015301440872,"Upbeat, Less Popular, Positive"
Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),0,0.637,0.0269,0.434,0.0,0.139,0.588,145.922,-3.15952,2,-0.4009303722290589,0.10843170979029282,"Upbeat, Less Popular, Positive"
I'm Free,0,0.648,0.0797,0.0981,2.24e-05,0.0712,0.856,103.272,-5.586048,2,-0.3531925082903262,-0.3092624508221807,"Upbeat, Less Popular, Positive"
"Writing's On The Wall - From ""Spectre"" Soundtrack",68,0.261,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,-2.47338,3,0.21253167097569492,0.8723215003743532,"Acoustic, Neutral, Relaxed"
If You Can't Give Me Love - 2017 Remaster,0,0.667,0.0348,0.117,0.000854,0.0707,0.905,133.867,-5.820540000000001,2,-0.3528394889291759,-0.3396556411852893,"Upbeat, Less Popular, Positive"
Take Yourself Home,0,0.364,0.0831,0.0748,0.000322,0.106,0.289,99.73,-5.567928,0,-0.39135674945260795,0.13116762266106066,"Mid-tempo, Less Popular, Melancholic"
Give It Up,73,0.862,0.0565,0.0192,0.000153,0.0465,0.882,124.896,-7.25712,1,0.40711474437669004,-0.3729037667924388,"Popular, Moderate Dance, Positive Vibes"
Homecoming,47,0.393,0.0871,0.00966,0.0,0.214,0.323,150.074,-2.013716,0,0.09219435830841205,0.11927706901221977,"Mid-tempo, Less Popular, Melancholic"
Funhouse - Main Version - Clean,24,0.789,0.0361,0.00616,0.0,0.0646,0.821,103.957,-3.40956,2,-0.09434883137846256,-0.34642991128272854,"Upbeat, Less Popular, Positive"
Dangerous Woman,0,0.677,0.0385,0.0612,0.0,0.353,0.297,134.052,-3.21328,0,-0.376808225279952,0.031056714028410315,"Mid-tempo, Less Popular, Melancholic"
Abergavenny,33,0.609,0.0695,0.162,0.504,0.522,0.792,123.102,-7.34616,2,-0.049835307078559654,-0.2091719815268101,"Upbeat, Less Popular, Positive"
That's All You Gotta Do,9,0.587,0.0283,0.381,1.01e-06,0.105,0.96,98.137,-3.7258,2,-0.29119097484753564,-0.1412575067089119,"Upbeat, Less Popular, Positive"
Its Alright,44,0.66,0.0375,0.0808,3.48e-06,0.15,0.862,103.395,-4.69744,1,0.09283274334996283,-0.2719690693257181,"Popular, Moderate Dance, Positive Vibes"
Metal Guru,50,0.307,0.138,0.00054,7.43e-05,0.313,0.524,127.895,-3.25565,1,0.12544381349499734,0.0009896696199296895,"Popular, Moderate Dance, Positive Vibes"
Heaven Is A Place On Earth,74,0.64,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902,-6.917388,1,0.39977600127023705,-0.24130311249659003,"Popular, Moderate Dance, Positive Vibes"
